isapre,mujer,ingresos,ocupado
0,0,61.025,1
0,1,145.614,0
0,0,206,0
1,1,589.375,1
0,1,464.792,1
1,0,1059.314,1
1,0,1110.875,1
1,0,537.5,1
1,0,751.644,1
0,1,484,0
NA,1,577,1
0,0,388.021,1
0,0,186.667,1
0,0,264.901,1
0,0,386.607,1
0,0,253.94,0
0,1,245.571,0
0,0,196.18,0
0,0,301.579,1
0,0,273.333,1
1,0,461.5,1
0,1,136.667,0
0,1,236.143,0
0,1,140.461,1
0,1,162.5,0
0,1,308.36,0
0,1,276.667,1
0,0,439.013,1
0,1,315.243,1
0,0,576.389,1
0,0,1005.75,1
0,1,591.924,0
0,1,1475.833,1
1,0,561.275,1
0,0,134.789,0
0,0,755,1
NA,1,377.426,1
1,1,675.5,0
0,1,294.646,0
0,0,677.084,1
0,0,496.568,1
0,0,535,1
0,0,87.41,1
1,0,465.546,1
0,0,102,1
0,0,292.323,0
0,0,425,1
NA,0,638.878,1
0,1,127.784,1
0,1,100,1
0,0,134.616,0
0,1,380,1
0,1,271.667,1
0,1,368.245,1
0,0,218.21,1
0,0,170.698,1
0,0,392.5,0
0,1,180.194,0
0,1,317.5,1
0,1,275,1
0,1,277,1
0,1,152.5,1
1,0,573.333,1
0,1,1330,1
0,1,296.436,0
0,1,1253,0
0,0,217.5,1
0,0,425.695,1
0,1,106.25,1
0,1,50,1
0,0,462.5,0
0,0,704.459,1
0,0,253.75,1
1,0,450.007,1
0,0,497.5,0
0,0,280.278,1
0,1,246,1
0,0,290,1
0,0,272.081,0
NA,0,900,0
0,1,305.386,1
1,0,791.743,1
0,0,193.058,1
0,0,398,1
0,1,305,1
0,0,385.827,0
0,1,270,1
0,1,214.717,1
0,0,299.719,1
0,0,209.054,1
0,1,110.929,0
1,0,375,1
1,0,912,1
0,1,177.221,1
0,0,263.289,1
0,1,228.398,1
0,1,180.25,1
0,0,231,1
0,0,428.333,1
NA,0,208.84,1
1,1,333.333,1
0,1,177.352,1
1,0,216.667,1
0,0,189.462,0
0,1,336,0
1,0,202.013,1
0,0,450,1
0,0,137.5,1
0,0,155.158,0
0,0,139.946,1
0,0,192.8,1
0,0,174.625,1
0,1,217,0
0,0,227.5,1
0,1,290,1
0,0,245.711,1
0,0,137.306,1
0,0,130.9,1
0,1,175.741,0
0,0,300.791,1
1,0,141.429,0
0,1,114.678,1
0,0,110.351,1
0,1,120,0
0,0,400,1
0,1,81.667,1
0,1,150,1
0,1,243.333,1
NA,0,480,1
NA,0,256,1
0,0,670,1
0,1,570.333,1
0,1,95.684,1
0,1,159,1
0,1,251,0
0,0,465.834,1
0,1,249.037,0
NA,1,305.625,1
0,1,158.787,1
0,1,78.818,1
0,1,153.762,1
0,1,117.5,1
0,0,1216.842,1
0,0,235,1
0,0,400,1
0,0,332.439,0
1,1,1360.833,1
0,0,304,0
0,1,301,0
0,0,120,1
1,0,215.833,0
0,1,265.987,0
0,1,203.179,1
0,1,107.342,1
0,0,333.333,1
NA,1,553.578,1
0,0,254.646,0
0,1,100.833,1
NA,0,200,0
1,0,615,1
0,0,103.6,1
0,0,190,1
0,1,65,1
NA,0,118.167,1
0,0,120.903,1
0,1,150,1
0,1,66.667,1
NA,0,95,1
0,1,876,1
0,1,260.667,0
0,1,185.055,1
0,0,550,1
0,1,387.34,1
0,1,590,1
0,1,660,1
1,1,332.917,0
0,1,407.778,0
0,1,348.11,1
0,1,300,0
0,1,328.556,0
0,0,221.429,1
0,0,400,1
0,0,276.417,1
0,1,177.842,1
0,0,178,1
0,0,275.301,1
1,0,683.611,1
0,1,107.5,0
1,0,484.823,1
0,0,361.998,1
0,0,235,1
0,1,216,1
0,0,308.25,0
1,0,294.778,1
0,1,185.985,0
0,1,522.6,1
0,0,2197.777,1
0,1,252.815,1
0,0,811.053,1
0,0,250,1
0,0,275,1
0,0,650,1
0,0,660,1
0,1,147.5,1
0,0,432,0
1,0,487.105,1
0,0,318.058,0
1,0,574.917,1
1,1,2072.587,1
0,0,363.209,0
0,1,447.456,0
0,1,733.368,0
0,0,216.667,1
NA,0,443.147,0
0,0,396.776,0
0,1,390.392,1
0,0,611.667,0
0,0,640.62,1
0,0,770.832,1
0,1,363,0
1,1,0,0
1,1,758.333,1
1,0,1978.334,1
1,1,275.908,1
0,0,694.167,1
0,0,1141.398,1
0,0,0,0
0,0,505,1
1,0,758.333,1
0,0,800,1
1,0,825.833,1
1,0,668.463,1
0,0,254.584,1
0,0,553.333,1
0,0,142.979,1
0,1,290.833,0
0,0,392.323,1
0,0,638.184,1
0,1,150,0
0,0,304.156,1
0,1,346.211,1
0,0,317.333,0
1,0,1206.667,1
0,0,900,0
0,0,280,1
1,0,716.477,1
1,1,1550,0
0,0,400,0
1,1,1456.667,1
1,0,1107.778,1
NA,0,963.333,1
1,0,2886.583,1
0,1,488.333,1
0,0,1402.083,1
1,1,1440.443,1
0,1,918.744,1
0,0,245,1
NA,1,375.389,0
0,1,242.697,1
0,0,700.444,1
0,1,47.8,0
0,0,627.5,1
1,1,4033.333,1
0,0,554.932,0
0,1,269.296,1
1,0,236.222,1
0,1,207.857,0
0,0,125,0
1,0,583.333,1
0,0,548.5,0
1,0,384.083,1
0,1,390,0
0,1,122.61,1
0,0,386.667,1
0,0,334.882,0
1,0,800.13,1
0,1,94.587,0
0,0,100,1
0,1,358.056,1
0,1,345,1
0,0,311.277,1
0,0,370,1
0,1,359,0
0,0,573.026,1
1,0,280.2,1
0,0,268.494,0
0,1,365,1
0,0,262.383,0
0,0,1412.084,1
0,1,284.444,1
0,0,175.876,1
0,0,203.548,0
0,0,373.966,1
1,1,766.667,1
NA,0,255,1
0,1,276.162,0
0,0,204.733,0
0,0,633.333,1
0,0,669.571,1
0,0,1100,0
NA,1,420,0
0,0,177.03,1
0,0,120,1
0,0,960,1
0,0,733.333,1
0,1,1416.666,0
0,1,896.667,1
1,0,598.656,0
NA,0,838.414,0
1,0,902.5,1
1,0,625,1
1,0,612.333,1
1,1,789.492,1
0,0,312.5,1
1,0,712.083,1
1,1,875,0
0,1,285,1
0,0,1050.006,1
0,0,220,1
1,0,1828.333,1
1,1,920,0
1,0,1060.625,1
1,0,600,1
1,0,1433.169,1
0,0,325,1
0,1,1269.444,1
0,0,366.667,0
0,1,455,0
0,1,960,0
0,1,142.932,0
1,0,322.331,1
NA,1,308,0
0,1,638.056,1
1,0,326.25,1
0,1,655,1
0,1,256.25,0
0,1,354,1
0,1,215.281,0
